tag,n_days,n_flat_days,ic_recompute_max_diff
A_seed0,492,0,9.71445146547012e-17
A_seed1,492,0,9.71445146547012e-17
A_seed2,492,0,9.71445146547012e-17
A_seed3,492,0,9.71445146547012e-17
A_seed42,492,0,9.71445146547012e-17
B_seed0,492,0,9.410874857174178e-17
B_seed1,492,0,9.71445146547012e-17
B_seed2,492,0,9.71445146547012e-17
B_seed3,492,0,9.71445146547012e-17
B_seed42,492,0,9.71445146547012e-17
C_seed0,492,0,9.71445146547012e-17
C_seed1,492,0,9.71445146547012e-17
C_seed2,492,0,9.71445146547012e-17
C_seed3,492,0,9.71445146547012e-17
C_seed42,492,0,9.71445146547012e-17
D_seed0,492,0,9.71445146547012e-17
D_seed1,492,0,9.71445146547012e-17
D_seed2,492,0,9.71445146547012e-17
D_seed3,492,0,9.71445146547012e-17
D_seed42,492,0,9.71445146547012e-17
