date,pos_edges,neg_edges,sent_edges,pos_sparsified,neg_sparsified,sent_sparsified,pos_max_deg,neg_max_deg,sent_max_deg,sent_vs_price_jaccard,jac_pos_prev,jac_neg_prev,jac_sent_prev
2018-01-02,18,2,0,False,False,False,5,2,0,0.0,,,
2018-01-03,16,1,0,False,False,False,4,1,0,0.0,0.6190476190476191,0.0,1.0
2018-01-04,17,1,0,False,False,False,4,1,0,0.0,0.9411764705882353,0.0,1.0
2018-01-05,17,0,0,False,False,False,3,0,0,0.0,0.8888888888888888,0.0,1.0
2018-01-08,15,0,0,False,False,False,4,0,0,0.0,0.7777777777777778,1.0,1.0
2018-01-09,16,0,0,False,False,False,5,0,0,0.0,0.9375,1.0,1.0
2018-01-10,18,0,0,False,False,False,5,0,0,0.0,0.7894736842105263,1.0,1.0
2018-01-11,19,0,0,False,False,False,5,0,0,0.0,0.85,1.0,1.0
2018-01-12,21,0,0,False,False,False,5,0,0,0.0,0.7391304347826086,1.0,1.0
2018-01-16,21,1,11,False,False,False,5,1,5,0.03125,0.75,0.0,0.0
2018-01-17,22,2,18,False,False,False,5,1,6,0.024390243902439025,0.5925925925925926,0.5,0.45
2018-01-18,22,1,25,False,False,False,5,1,8,0.02127659574468085,0.5714285714285714,0.5,0.6538461538461539
2018-01-19,19,1,28,False,False,False,5,1,7,0.02127659574468085,0.7083333333333334,1.0,0.7666666666666667
2018-01-22,23,1,28,False,False,False,5,1,8,0.0196078431372549,0.6153846153846154,1.0,0.8064516129032258
2018-01-23,24,3,25,False,False,False,5,2,7,0.0,0.7407407407407407,0.0,0.8275862068965517
2018-01-24,22,3,19,False,False,False,5,2,6,0.0,0.84,1.0,0.76
2018-01-25,20,3,21,False,False,False,5,2,6,0.0,0.75,1.0,0.7391304347826086
2018-01-26,14,3,16,False,False,False,5,2,5,0.0,0.7,1.0,0.4230769230769231
2018-01-29,18,3,16,False,False,False,5,2,5,0.0,0.6842105263157895,1.0,0.6
2018-01-30,24,2,16,False,False,False,7,2,5,0.0,0.6153846153846154,0.6666666666666666,0.7777777777777778
2018-01-31,22,2,17,False,False,False,7,2,5,0.0,0.5862068965517241,1.0,0.8333333333333334
2018-02-01,18,1,20,False,False,False,5,1,5,0.02631578947368421,0.6666666666666666,0.5,0.6818181818181818
2018-02-02,49,1,22,False,False,False,10,1,6,0.014084507042253521,0.34,1.0,0.68
2018-02-05,29,0,19,True,False,False,5,0,5,0.0,0.4716981132075472,0.0,0.4642857142857143
