src,dst,freq,mean_cos
JNJ,PG,1.6971544715447155,0.8973715895307278
LIN,UNH,1.5203252032520325,0.8660320772684832
AAPL,TSLA,1.5060975609756098,0.7256815327726073
HD,LIN,1.483739837398374,0.8816902591757578
AAPL,AMZN,1.443089430894309,0.8076536411970434
PG,UNH,1.4410569105691058,0.8737553089899136
AMZN,MSFT,1.420731707317073,0.8002944857692172
AMZN,NVDA,1.4085365853658536,0.7279575785345157
NVDA,TSLA,1.3678861788617886,0.6913390485971147
BAC,GOOGL,1.3516260162601625,0.7552877081964249
AMZN,GOOGL,1.3353658536585367,0.8284938643875006
AMZN,NFLX,1.2784552845528456,0.7568512224904683
HD,UNH,1.2642276422764227,0.8573295924441224
HD,JNJ,1.2398373983739837,0.8547659929169983
BAC,NFLX,1.233739837398374,0.6993805488703475
