model,seed,params,features,relations,best_epoch,val_ic,test_ic_mean,test_ic_nw_t,test_days
B,42,1433089,full,"['pos', 'neg']",10,0.033800531706935644,-0.006145620569506188,-0.3587890888817679,492
B,0,1433089,full,"['pos', 'neg']",37,0.07128196106028617,-0.01779106091553526,-1.125353802268575,492
B,1,1433089,full,"['pos', 'neg']",6,0.04181914144968331,-0.018195562497496893,-0.958609889039708,492
B,2,1433089,full,"['pos', 'neg']",10,0.07845218547188988,-0.019948736433177138,-1.0953563125886585,492
B,3,1433089,full,"['pos', 'neg']",23,0.05178278207834857,0.002156674276102362,0.11113056983407231,492
D,42,776641,full,['sent'],10,0.031057940417546327,-0.013969321959229444,-0.8184931104273384,492
D,0,776641,full,['sent'],7,0.02477910704511689,-0.02067663903240017,-1.2023379209547915,492
D,1,776641,full,['sent'],9,0.03211744467902103,-0.010643197564980573,-0.6104276395541156,492
D,2,776641,full,['sent'],15,0.03063961216670576,-0.0068354759902278855,-0.4018191322043366,492
D,3,776641,full,['sent'],21,0.020124716553287972,-0.008000921142216347,-0.5095960023869525,492
